States Missed:
Delaware
Maryland
California
Vermont
South Carolina
Texas
Arkansas
Wyoming
Maine
Massachusetts
Oklahoma
Rhode Island
Tennessee
Hawaii
Arizona
Louisiana
New Hampshire
Wisconsin
Idaho
Missouri
Indiana
Florida
Connecticut
Montana
South Dakota
Illinois
Virginia
Washington
Alaska
Colorado
Nebraska
North Dakota
Mississippi
state
North Carolina
Utah
New Mexico
New York
Kansas
Oregon
Kentucky
Georgia
New Jersey
Pennsylvania
Minnesota
Michigan
West Virginia
Ohio
Nevada
Iowa

States Guessed:
Alabama
